record_number,district,mandal,date,rain_mm,min_temp_c,max_temp_c,min_humidity,max_humidity,min_wind_speed_kmph,max_wind_speed_kmph
1,Adilabad,Adilabad Rural,01-Apr-21,0.0,24.4,41.9,10.6,28.8,0.0,10.3
2,Adilabad,Adilabad Rural,02-Apr-21,0.0,26.2,37.7,11.0,26.3,0.0,11.2
3,Adilabad,Adilabad Rural,03-Apr-21,0.0,22.3,38.8,9.5,38.3,0.0,9.4
4,Adilabad,Adilabad Rural,04-Apr-21,0.0,21.3,39.9,7.9,29.2,0.0,6.3
5,Adilabad,Adilabad Rural,05-Apr-21,0.0,24.1,38.7,8.7,45.7,0.0,6.3
6,Adilabad,Adilabad Rural,06-Apr-21,0.0,25.0,39.1,7.7,83.7,2.1,4.6
7,Adilabad,Adilabad Rural,07-Apr-21,0.0,23.5,39.2,9.5,76.5,0.2,4.0
8,Adilabad,Adilabad Rural,08-Apr-21,0.0,25.6,40.1,12.6,51.2,0.0,3.6
9,Adilabad,Adilabad Rural,09-Apr-21,0.0,27.9,38.8,16.5,45.5,0.0,13.2
10,Adilabad,Adilabad Rural,10-Apr-21,0.0,25.2,39.7,19.3,64.7,0.4,9.1
11,Adilabad,Adilabad Rural,11-Apr-21,0.8,21.4,39.8,23.7,92.2,2.0,19.4
12,Adilabad,Adilabad Rural,12-Apr-21,0.0,22.3,32.3,44.6,83.5,0.0,1.8
13,Adilabad,Adilabad Rural,13-Apr-21,0.0,23.3,36.4,21.8,52.8,0.1,3.0
14,Adilabad,Adilabad Rural,14-Apr-21,0.0,24.0,34.7,27.0,77.6,0.1,4.7
15,Adilabad,Adilabad Rural,15-Apr-21,0.0,22.0,35.1,31.2,69.4,0.0,13.3
16,Adilabad,Adilabad Rural,16-Apr-21,0.0,21.2,36.7,18.4,69.5,0.0,30.1
17,Adilabad,Adilabad Rural,17-Apr-21,0.0,24.5,39.2,15.2,62.2,0.6,3.1
18,Adilabad,Adilabad Rural,18-Apr-21,0.0,23.3,39.6,10.7,61.7,0.0,6.5
19,Adilabad,Adilabad Rural,19-Apr-21,0.0,25.4,42.2,11.3,62.6,3.8,8.3
20,Adilabad,Adilabad Rural,20-Apr-21,0.0,26.1,39.2,11.1,54.7,0.0,2.0
21,Adilabad,Adilabad Rural,21-Apr-21,0.0,26.0,42.3,12.0,71.3,2.0,8.7
22,Adilabad,Adilabad Rural,22-Apr-21,0.0,23.8,39.6,28.4,69.9,1.1,3.8
23,Adilabad,Adilabad Rural,23-Apr-21,0.0,24.7,38.9,14.3,62.2,0.5,5.2
24,Adilabad,Adilabad Rural,24-Apr-21,0.0,24.5,39.5,13.3,57.0,1.3,4.8
25,Adilabad,Adilabad Rural,25-Apr-21,0.0,24.3,39.5,9.4,46.5,0.0,8.6
26,Adilabad,Adilabad Rural,26-Apr-21,0.0,27.8,42.4,11.8,48.7,0.2,2.3
27,Adilabad,Adilabad Rural,27-Apr-21,0.0,23.8,39.9,16.7,54.6,0.0,3.6
28,Adilabad,Adilabad Rural,28-Apr-21,0.0,24.5,42.0,10.7,46.5,0.1,5.7
29,Adilabad,Adilabad Rural,29-Apr-21,0.0,25.3,40.1,10.4,42.6,0.1,4.3
30,Adilabad,Adilabad Rural,30-Apr-21,0.0,27.1,39.9,9.8,57.7,0.3,4.9
31,Adilabad,Adilabad Urban,01-Apr-21,0.0,24.1,41.7,13.6,48.4,0.0,3.1
32,Adilabad,Adilabad Urban,02-Apr-21,0.0,25.4,41.1,15.9,33.7,0.0,3.8
33,Adilabad,Adilabad Urban,03-Apr-21,0.0,21.5,39.7,9.5,32.1,0.0,10.6
34,Adilabad,Adilabad Urban,04-Apr-21,0.0,20.2,40.1,5.2,30.6,0.0,3.4
35,Adilabad,Adilabad Urban,05-Apr-21,0.0,23.9,40.0,5.8,43.2,0.0,8.1
36,Adilabad,Adilabad Urban,06-Apr-21,0.0,24.3,40.0,5.8,74.4,0.0,5.9
