record_number,district,mandal,date,rain_mm,min_temp_c,max_temp_c,min_humidity,max_humidity,min_wind_speed_kmph,max_wind_speed_kmph
37,Adilabad,Adilabad Urban,07-Apr-21,0.0,27.5,41.6,7.0,73.6,0.0,6.7
38,Adilabad,Adilabad Urban,08-Apr-21,0.0,27.0,41.4,7.7,61.5,0.0,3.7
39,Adilabad,Adilabad Urban,09-Apr-21,0.0,27.4,40.5,11.9,52.3,0.0,8.8
40,Adilabad,Adilabad Urban,10-Apr-21,0.0,27.7,40.1,10.4,65.7,0.0,5.5
41,Adilabad,Adilabad Urban,11-Apr-21,4.4,21.8,39.5,12.7,89.8,0.0,11.4
42,Adilabad,Adilabad Urban,12-Apr-21,0.0,22.0,33.3,38.9,88.3,0.0,4.4
43,Adilabad,Adilabad Urban,13-Apr-21,0.0,24.9,39.0,18.9,69.1,0.0,5.3
44,Adilabad,Adilabad Urban,14-Apr-21,3.5,25.3,36.8,17.7,71.8,0.0,5.1
45,Adilabad,Adilabad Urban,15-Apr-21,0.0,21.5,38.2,22.4,76.2,0.0,5.9
46,Adilabad,Adilabad Urban,16-Apr-21,0.0,20.6,37.6,12.3,73.6,0.0,5.8
47,Adilabad,Adilabad Urban,17-Apr-21,0.0,25.8,39.2,9.8,59.1,0.0,6.2
48,Adilabad,Adilabad Urban,18-Apr-21,0.0,23.3,41.0,6.6,63.1,0.0,6.1
49,Adilabad,Adilabad Urban,19-Apr-21,0.0,27.9,41.2,6.9,58.7,0.0,4.0
50,Adilabad,Adilabad Urban,20-Apr-21,0.0,25.9,41.9,6.3,50.1,0.0,3.8
51,Adilabad,Adilabad Urban,21-Apr-21,0.0,27.8,42.2,7.5,68.3,0.0,7.8
52,Adilabad,Adilabad Urban,22-Apr-21,0.0,25.6,40.4,11.3,65.1,0.0,5.5
53,Adilabad,Adilabad Urban,23-Apr-21,0.0,23.8,40.4,16.9,53.1,0.0,4.2
54,Adilabad,Adilabad Urban,24-Apr-21,0.0,23.5,40.1,7.6,61.7,0.0,4.0
55,Adilabad,Adilabad Urban,25-Apr-21,0.0,24.7,41.4,5.9,46.4,0.0,5.7
56,Adilabad,Adilabad Urban,26-Apr-21,0.0,28.6,42.5,12.0,51.6,0.0,5.5
57,Adilabad,Adilabad Urban,27-Apr-21,2.5,26.3,41.4,12.1,62.7,0.0,9.8
58,Adilabad,Adilabad Urban,28-Apr-21,0.0,28.2,40.4,14.0,48.9,0.0,5.6
59,Adilabad,Adilabad Urban,29-Apr-21,0.0,25.3,42.2,17.0,47.3,0.0,4.9
60,Adilabad,Adilabad Urban,30-Apr-21,0.0,28.7,42.6,15.3,57.9,0.0,8.3
61,Adilabad,Bazarhathnoor,01-Apr-21,0.0,24.0,39.0,16.2,46.8,0.9,10.7
62,Adilabad,Bazarhathnoor,02-Apr-21,0.0,24.1,38.4,17.4,35.9,0.3,16.7
63,Adilabad,Bazarhathnoor,03-Apr-21,0.0,20.9,39.8,14.9,47.2,0.0,9.9
64,Adilabad,Bazarhathnoor,04-Apr-21,0.0,21.9,39.9,13.7,57.4,0.0,10.8
65,Adilabad,Bazarhathnoor,05-Apr-21,0.0,23.4,37.7,17.6,59.4,0.0,12.5
66,Adilabad,Bazarhathnoor,06-Apr-21,0.0,24.0,38.4,14.2,74.3,0.0,10.6
67,Adilabad,Bazarhathnoor,07-Apr-21,0.0,22.9,41.0,17.8,80.1,0.0,14.5
68,Adilabad,Bazarhathnoor,08-Apr-21,0.0,22.1,39.9,21.9,61.3,0.0,8.8
69,Adilabad,Bazarhathnoor,09-Apr-21,0.0,23.0,36.6,26.9,55.4,0.0,14.9
70,Adilabad,Bazarhathnoor,10-Apr-21,0.0,23.7,37.4,22.2,74.0,0.4,15.0
71,Adilabad,Bazarhathnoor,11-Apr-21,0.0,22.5,37.3,30.6,75.2,0.7,15.4
72,Adilabad,Bazarhathnoor,12-Apr-21,0.0,20.2,32.4,46.7,84.3,0.0,11.1
73,Adilabad,Bazarhathnoor,13-Apr-21,0.0,21.5,36.6,28.5,68.4,0.0,10.9
74,Adilabad,Bazarhathnoor,14-Apr-21,0.0,23.0,35.6,31.8,70.7,0.0,22.3
75,Adilabad,Bazarhathnoor,15-Apr-21,0.7,18.8,35.7,28.3,75.1,0.2,19.1
76,Adilabad,Bazarhathnoor,16-Apr-21,0.0,19.8,35.8,26.2,60.8,0.0,7.9
77,Adilabad,Bazarhathnoor,17-Apr-21,0.0,20.5,36.2,23.5,63.2,0.0,11.9
78,Adilabad,Bazarhathnoor,18-Apr-21,0.0,21.1,38.3,23.7,61.3,0.0,11.1
79,Adilabad,Bazarhathnoor,19-Apr-21,0.0,23.9,39.3,17.6,55.9,0.1,11.2
80,Adilabad,Bazarhathnoor,20-Apr-21,0.0,23.9,40.2,18.3,47.2,0.0,11.0
81,Adilabad,Bazarhathnoor,21-Apr-21,0.0,24.6,40.2,17.8,69.0,0.0,18.7
82,Adilabad,Bazarhathnoor,22-Apr-21,0.0,21.0,37.3,26.5,63.8,0.0,13.5
83,Adilabad,Bazarhathnoor,23-Apr-21,0.0,22.5,38.2,23.1,52.9,0.0,8.7
84,Adilabad,Bazarhathnoor,24-Apr-21,0.0,20.6,36.4,20.8,55.4,0.0,9.1
85,Adilabad,Bazarhathnoor,25-Apr-21,0.0,21.0,38.7,19.6,54.5,1.2,10.2
86,Adilabad,Bazarhathnoor,26-Apr-21,0.0,27.5,41.9,16.4,45.3,0.0,9.5
87,Adilabad,Bazarhathnoor,27-Apr-21,1.3,23.6,39.8,23.1,57.9,2.0,17.1
88,Adilabad,Bazarhathnoor,28-Apr-21,0.0,24.3,38.6,18.9,54.4,0.0,13.1
89,Adilabad,Bazarhathnoor,29-Apr-21,0.0,22.5,40.5,19.2,52.1,0.0,9.9
90,Adilabad,Bazarhathnoor,30-Apr-21,0.0,25.3,40.0,19.9,57.4,0.0,19.2
91,Adilabad,Bela,01-Apr-21,0.0,27.0,41.1,11.6,43.8,0.0,15.1
92,Adilabad,Bela,02-Apr-21,0.0,24.0,39.9,15.8,35.1,0.0,16.3
93,Adilabad,Bela,03-Apr-21,0.0,21.1,41.5,6.6,33.0,0.0,10.0
94,Adilabad,Bela,04-Apr-21,0.0,21.5,41.1,11.6,30.3,0.0,10.6
95,Adilabad,Bela,05-Apr-21,0.0,23.8,40.7,12.8,51.3,0.0,8.3
96,Adilabad,Bela,06-Apr-21,0.0,23.9,41.6,8.7,70.8,0.0,12.7
97,Adilabad,Bela,07-Apr-21,0.0,24.1,41.7,16.2,72.0,0.0,16.7
98,Adilabad,Bela,08-Apr-21,0.0,26.2,41.6,16.4,61.5,0.0,15.5
99,Adilabad,Bela,09-Apr-21,0.0,29.0,40.4,21.6,42.9,0.0,21.2
100,Adilabad,Bela,10-Apr-21,0.0,28.2,40.0,22.6,62.5,0.0,15.2
101,Adilabad,Bela,11-Apr-21,0.5,22.0,39.2,24.2,100.0,0.0,15.2
102,Adilabad,Bela,12-Apr-21,0.0,22.2,33.1,45.6,86.9,0.0,17.4
103,Adilabad,Bela,13-Apr-21,0.0,25.5,37.5,26.8,59.8,0.0,19.1
104,Adilabad,Bela,14-Apr-21,2.3,26.2,37.6,25.7,61.6,0.0,14.3
105,Adilabad,Bela,15-Apr-21,2.5,22.3,37.5,23.6,75.8,0.0,21.3
106,Adilabad,Bela,16-Apr-21,0.0,20.6,36.9,21.5,53.7,0.0,14.8
107,Adilabad,Bela,17-Apr-21,0.0,25.3,38.8,19.2,51.2,0.0,16.1
108,Adilabad,Bela,18-Apr-21,0.0,22.9,40.0,14.8,51.0,0.0,15.7
109,Adilabad,Bela,19-Apr-21,0.0,29.3,40.8,15.6,48.2,0.0,17.8
110,Adilabad,Bela,20-Apr-21,0.0,26.9,41.0,15.8,44.3,0.0,13.3
111,Adilabad,Bela,21-Apr-21,0.0,29.1,41.2,18.0,67.2,0.0,23.0
112,Adilabad,Bela,22-Apr-21,0.0,23.3,39.5,20.3,67.2,0.0,22.4
113,Adilabad,Bela,23-Apr-21,0.0,24.6,39.4,19.7,53.0,0.0,13.8
114,Adilabad,Bela,24-Apr-21,0.0,23.9,40.0,16.3,57.0,0.0,11.7
115,Adilabad,Bela,25-Apr-21,0.0,25.1,40.2,14.9,43.8,0.0,16.4
116,Adilabad,Bela,26-Apr-21,0.0,29.9,41.7,15.2,45.4,0.0,12.1
117,Adilabad,Bela,27-Apr-21,0.0,26.4,41.3,21.4,52.0,0.0,27.0
118,Adilabad,Bela,28-Apr-21,0.0,29.3,41.2,14.7,38.0,0.0,17.1
119,Adilabad,Bela,29-Apr-21,0.0,26.1,41.4,16.5,38.2,0.0,17.9
120,Adilabad,Bela,30-Apr-21,0.0,29.2,42.1,14.5,50.0,0.0,24.0
121,Adilabad,Bheempoor,01-Apr-21,0.0,23.3,41.0,15.5,44.7,0.0,1.5
122,Adilabad,Bheempoor,02-Apr-21,0.0,24.1,39.8,16.1,42.4,0.0,2.2
123,Adilabad,Bheempoor,03-Apr-21,0.0,21.7,41.0,11.9,40.4,0.0,1.9
124,Adilabad,Bheempoor,04-Apr-21,0.0,20.7,41.5,12.3,38.0,0.0,1.5
125,Adilabad,Bheempoor,05-Apr-21,0.0,22.4,40.9,12.2,38.1,0.0,1.5
126,Adilabad,Bheempoor,06-Apr-21,0.0,23.0,40.8,11.5,60.2,0.0,4.8
127,Adilabad,Bheempoor,07-Apr-21,0.0,24.5,41.7,15.3,67.3,0.0,5.2
128,Adilabad,Bheempoor,08-Apr-21,0.0,24.0,41.4,14.8,50.2,0.0,2.9
129,Adilabad,Bheempoor,09-Apr-21,0.0,26.2,39.8,21.2,42.0,0.0,4.6
130,Adilabad,Bheempoor,10-Apr-21,0.0,27.8,39.3,19.8,65.0,0.2,5.4
131,Adilabad,Bheempoor,11-Apr-21,3.0,23.1,39.6,24.8,85.9,0.1,6.8
132,Adilabad,Bheempoor,12-Apr-21,0.0,20.9,32.8,41.6,85.9,0.0,0.4
133,Adilabad,Bheempoor,13-Apr-21,0.0,24.3,37.7,25.9,64.1,0.0,2.1
134,Adilabad,Bheempoor,14-Apr-21,1.3,24.2,38.5,27.4,67.2,0.2,5.1
135,Adilabad,Bheempoor,15-Apr-21,0.0,20.6,37.2,25.8,77.8,0.0,3.9
136,Adilabad,Bheempoor,16-Apr-21,0.0,20.2,36.9,25.2,57.1,0.0,2.6
137,Adilabad,Bheempoor,17-Apr-21,0.0,23.5,39.9,18.4,47.7,0.0,3.1
138,Adilabad,Bheempoor,18-Apr-21,0.0,22.6,40.3,17.0,42.1,0.0,3.0
139,Adilabad,Bheempoor,19-Apr-21,0.0,24.9,41.4,16.9,39.6,0.0,2.0
140,Adilabad,Bheempoor,20-Apr-21,0.0,25.4,41.4,16.9,39.4,0.0,2.3
141,Adilabad,Bheempoor,21-Apr-21,0.0,28.8,41.7,18.1,65.0,0.1,6.1
142,Adilabad,Bheempoor,22-Apr-21,0.0,23.0,40.2,20.5,59.5,0.0,2.1
143,Adilabad,Bheempoor,23-Apr-21,0.0,23.5,39.4,18.3,44.2,0.0,2.1
144,Adilabad,Bheempoor,24-Apr-21,0.0,22.0,38.7,15.8,41.5,0.0,2.4
145,Adilabad,Bheempoor,25-Apr-21,0.0,21.9,40.6,14.5,41.7,0.0,1.7
146,Adilabad,Bheempoor,26-Apr-21,0.0,27.6,41.2,16.3,37.8,0.0,1.9
147,Adilabad,Bheempoor,27-Apr-21,0.0,26.3,39.6,23.1,45.4,0.0,4.2
148,Adilabad,Bheempoor,28-Apr-21,0.0,27.9,41.1,15.5,40.6,0.1,3.2
149,Adilabad,Bheempoor,29-Apr-21,0.0,24.4,41.7,18.4,38.0,0.2,3.4
150,Adilabad,Bheempoor,30-Apr-21,0.0,28.8,42.3,15.0,46.4,0.0,6.1
151,Adilabad,Boath,01-Apr-21,0.0,23.7,39.9,13.2,45.8,0.0,16.8
152,Adilabad,Boath,02-Apr-21,0.0,23.9,38.9,16.7,41.2,0.0,26.5
153,Adilabad,Boath,03-Apr-21,0.0,20.3,39.6,12.8,49.2,0.0,14.2
154,Adilabad,Boath,04-Apr-21,0.0,21.1,41.1,11.9,48.4,0.0,18.5
155,Adilabad,Boath,05-Apr-21,0.0,21.9,39.1,12.7,61.2,0.0,23.5
156,Adilabad,Boath,06-Apr-21,0.0,22.4,40.0,9.2,75.4,0.0,15.2
157,Adilabad,Boath,07-Apr-21,0.0,23.3,40.2,17.5,73.2,0.0,25.8
158,Adilabad,Boath,08-Apr-21,0.0,22.3,38.6,23.7,60.4,0.0,13.8
159,Adilabad,Boath,09-Apr-21,0.0,23.4,36.8,19.9,53.8,0.0,24.6
160,Adilabad,Boath,10-Apr-21,0.0,23.4,38.6,20.0,69.6,0.0,30.2
161,Adilabad,Boath,11-Apr-21,10.8,21.0,37.4,29.4,89.8,0.0,27.2
162,Adilabad,Boath,12-Apr-21,0.0,19.5,32.9,43.7,86.4,0.0,23.0
163,Adilabad,Boath,13-Apr-21,0.0,21.6,37.0,26.2,80.6,0.0,20.5
164,Adilabad,Boath,14-Apr-21,1.6,23.2,36.5,30.5,77.5,0.0,52.1
165,Adilabad,Boath,15-Apr-21,0.3,19.1,36.5,25.2,75.5,0.0,25.9
166,Adilabad,Boath,16-Apr-21,0.0,19.1,35.9,26.9,66.7,0.0,11.5
167,Adilabad,Boath,17-Apr-21,0.0,21.1,36.8,20.5,65.2,0.0,22.4
168,Adilabad,Boath,18-Apr-21,0.0,20.9,38.0,25.8,67.0,0.0,14.6
169,Adilabad,Boath,19-Apr-21,0.0,25.3,41.1,15.8,53.3,0.0,22.1
170,Adilabad,Boath,20-Apr-21,0.0,23.3,40.8,17.4,48.4,0.0,18.9
171,Adilabad,Boath,21-Apr-21,0.0,24.5,40.6,16.7,75.7,0.0,38.2
172,Adilabad,Boath,22-Apr-21,0.0,21.1,38.6,24.2,68.7,0.0,22.9
173,Adilabad,Boath,23-Apr-21,0.0,23.4,38.8,20.0,54.9,0.0,15.0
174,Adilabad,Boath,24-Apr-21,0.0,20.6,37.9,18.4,60.3,0.0,18.1
175,Adilabad,Boath,25-Apr-21,0.0,23.6,39.9,16.5,48.3,0.0,15.9
176,Adilabad,Boath,26-Apr-21,0.0,28.3,39.9,19.6,44.0,0.0,16.1
177,Adilabad,Boath,27-Apr-21,0.4,25.6,39.9,19.9,54.9,0.3,22.6
178,Adilabad,Boath,28-Apr-21,0.0,26.2,40.0,20.0,46.1,0.0,24.1
179,Adilabad,Boath,29-Apr-21,0.0,24.5,40.3,16.2,40.5,0.0,19.5
180,Adilabad,Boath,30-Apr-21,0.0,25.9,39.9,17.0,55.4,0.0,42.9
181,Adilabad,Gadiguda,01-Apr-21,0.0,27.1,39.3,15.6,44.2,0.0,10.6
182,Adilabad,Gadiguda,02-Apr-21,0.0,25.4,38.8,18.2,34.6,0.0,15.1
183,Adilabad,Gadiguda,03-Apr-21,0.0,23.7,39.7,12.9,25.7,0.0,8.1
184,Adilabad,Gadiguda,04-Apr-21,0.0,23.0,39.7,14.1,48.8,0.0,6.0
185,Adilabad,Gadiguda,05-Apr-21,0.0,24.5,38.7,16.6,58.5,0.0,5.3
186,Adilabad,Gadiguda,06-Apr-21,0.0,24.1,39.7,11.7,73.3,0.0,7.4
187,Adilabad,Gadiguda,07-Apr-21,0.0,25.7,40.1,19.4,73.5,0.0,7.3
188,Adilabad,Gadiguda,08-Apr-21,0.0,25.8,39.3,23.8,63.3,0.0,9.3
189,Adilabad,Gadiguda,09-Apr-21,0.0,27.9,38.2,24.4,51.7,0.0,12.5
190,Adilabad,Gadiguda,10-Apr-21,0.0,26.0,37.7,30.8,67.9,0.1,10.1
191,Adilabad,Gadiguda,11-Apr-21,10.8,21.4,37.5,31.8,90.1,0.1,14.0
192,Adilabad,Gadiguda,12-Apr-21,4.0,22.9,33.1,58.3,80.7,0.0,6.2
193,Adilabad,Gadiguda,13-Apr-21,0.0,24.1,36.1,35.9,65.9,0.0,11.1
194,Adilabad,Gadiguda,14-Apr-21,0.0,24.9,36.8,34.2,67.4,0.2,9.1
195,Adilabad,Gadiguda,15-Apr-21,0.0,21.6,35.6,30.0,70.0,0.1,12.8
196,Adilabad,Gadiguda,16-Apr-21,0.0,21.5,35.3,31.3,58.6,0.0,5.7
197,Adilabad,Gadiguda,17-Apr-21,0.0,25.6,36.4,26.4,60.8,0.1,9.3
198,Adilabad,Gadiguda,18-Apr-21,0.0,24.2,38.2,20.8,50.5,0.0,9.3
199,Adilabad,Gadiguda,19-Apr-21,0.0,28.4,39.2,19.2,55.0,0.0,10.6
200,Adilabad,Gadiguda,20-Apr-21,0.0,26.9,39.6,19.2,54.7,0.0,5.2
201,Adilabad,Gadiguda,21-Apr-21,0.0,27.2,40.0,21.7,69.7,0.0,9.6
202,Adilabad,Gadiguda,22-Apr-21,5.0,23.9,37.3,33.0,69.0,0.0,14.2
203,Adilabad,Gadiguda,23-Apr-21,0.0,24.7,37.2,27.3,58.3,0.0,7.9
204,Adilabad,Gadiguda,24-Apr-21,0.0,24.6,38.4,24.0,58.9,0.1,6.8
205,Adilabad,Gadiguda,25-Apr-21,0.0,26.6,38.9,22.3,47.8,0.0,9.1
206,Adilabad,Gadiguda,26-Apr-21,0.0,29.0,39.6,21.4,49.1,0.0,5.0
207,Adilabad,Gadiguda,27-Apr-21,0.0,25.7,39.4,25.5,55.5,0.0,10.7
208,Adilabad,Gadiguda,28-Apr-21,0.0,28.6,38.8,18.9,44.1,0.0,8.8
209,Adilabad,Gadiguda,29-Apr-21,0.0,27.6,39.9,19.8,40.9,0.1,16.9
210,Adilabad,Gadiguda,30-Apr-21,0.0,28.3,41.5,19.5,62.2,0.0,13.5
211,Adilabad,Gudihathnur,01-Apr-21,0.0,23.3,39.8,14.7,36.8,0.1,6.0
212,Adilabad,Gudihathnur,02-Apr-21,0.0,25.4,39.5,17.0,32.0,0.3,9.6
213,Adilabad,Gudihathnur,03-Apr-21,0.0,22.8,39.6,12.8,35.5,0.0,5.8
214,Adilabad,Gudihathnur,04-Apr-21,0.0,23.8,40.3,13.3,23.7,0.0,4.6
215,Adilabad,Gudihathnur,05-Apr-21,0.0,24.6,40.2,13.3,61.4,0.0,5.8
216,Adilabad,Gudihathnur,06-Apr-21,0.0,24.4,40.1,11.4,72.6,0.0,7.0
217,Adilabad,Gudihathnur,07-Apr-21,0.0,24.6,41.6,18.4,72.1,0.0,7.9
218,Adilabad,Gudihathnur,08-Apr-21,0.0,25.3,41.1,21.2,62.9,0.0,5.1
219,Adilabad,Gudihathnur,09-Apr-21,0.0,26.8,38.9,23.8,54.8,0.0,8.3
220,Adilabad,Gudihathnur,10-Apr-21,0.0,24.8,37.5,27.3,68.8,0.3,7.6
221,Adilabad,Gudihathnur,11-Apr-21,1.8,21.1,38.1,28.7,91.6,0.0,7.2
222,Adilabad,Gudihathnur,12-Apr-21,0.0,20.9,32.8,48.0,89.7,0.0,5.9
223,Adilabad,Gudihathnur,13-Apr-21,0.0,23.6,37.3,28.7,65.9,0.0,4.4
224,Adilabad,Gudihathnur,14-Apr-21,0.0,23.8,36.2,36.0,67.4,0.0,4.1
225,Adilabad,Gudihathnur,15-Apr-21,0.6,20.4,37.3,25.2,69.1,0.2,11.5
226,Adilabad,Gudihathnur,16-Apr-21,0.0,21.0,37.4,25.7,60.9,0.0,4.5
227,Adilabad,Gudihathnur,17-Apr-21,0.0,25.1,38.0,22.4,57.4,0.0,5.5
228,Adilabad,Gudihathnur,18-Apr-21,0.0,22.2,39.2,18.9,55.9,0.0,7.5
229,Adilabad,Gudihathnur,19-Apr-21,0.0,26.0,40.2,16.8,55.9,0.0,5.1
230,Adilabad,Gudihathnur,20-Apr-21,0.0,25.1,40.2,18.4,48.3,0.0,5.0
231,Adilabad,Gudihathnur,21-Apr-21,0.0,25.6,40.6,18.4,65.5,0.0,7.7
232,Adilabad,Gudihathnur,22-Apr-21,0.0,22.1,39.4,22.4,67.3,0.0,6.7
233,Adilabad,Gudihathnur,23-Apr-21,0.0,24.1,39.0,21.7,54.8,0.0,3.9
234,Adilabad,Gudihathnur,24-Apr-21,0.0,23.2,37.3,17.3,57.9,0.0,3.1
235,Adilabad,Gudihathnur,25-Apr-21,0.0,24.5,39.8,16.8,43.7,1.2,6.1
236,Adilabad,Gudihathnur,26-Apr-21,0.0,28.6,41.3,17.7,49.5,0.0,5.4
237,Adilabad,Gudihathnur,27-Apr-21,2.4,24.4,41.3,21.9,56.3,1.0,10.4
238,Adilabad,Gudihathnur,28-Apr-21,0.0,26.1,41.1,15.6,45.6,0.0,2.0
239,Adilabad,Gudihathnur,29-Apr-21,0.0,24.0,40.3,18.4,45.6,0.0,3.5
240,Adilabad,Gudihathnur,30-Apr-21,0.0,25.8,40.7,19.1,56.3,0.0,9.3
241,Adilabad,Ichoda,01-Apr-21,0.0,26.7,39.4,13.4,38.0,0.2,13.4
242,Adilabad,Ichoda,02-Apr-21,0.0,24.1,38.5,14.3,33.5,0.9,19.9
243,Adilabad,Ichoda,03-Apr-21,0.0,23.5,39.1,12.6,24.3,0.0,13.3
244,Adilabad,Ichoda,04-Apr-21,0.0,24.5,39.9,12.6,22.7,0.0,11.9
245,Adilabad,Ichoda,05-Apr-21,0.0,24.3,38.9,12.6,62.9,0.0,11.2
246,Adilabad,Ichoda,06-Apr-21,0.0,24.2,38.8,9.9,77.6,0.0,14.1
247,Adilabad,Ichoda,07-Apr-21,0.0,24.2,39.4,17.4,79.2,0.0,15.1
248,Adilabad,Ichoda,08-Apr-21,0.0,24.9,39.3,21.5,69.4,0.0,10.1
249,Adilabad,Ichoda,09-Apr-21,0.0,26.3,35.9,22.4,52.7,0.0,17.0
250,Adilabad,Ichoda,10-Apr-21,0.0,24.8,37.7,24.0,75.3,1.0,12.8
251,Adilabad,Ichoda,11-Apr-21,2.4,22.1,36.7,28.4,89.3,0.0,15.4
252,Adilabad,Ichoda,12-Apr-21,0.0,20.9,32.1,45.0,89.7,0.0,9.3
253,Adilabad,Ichoda,13-Apr-21,0.0,23.6,35.5,27.1,74.4,0.0,10.2
254,Adilabad,Ichoda,14-Apr-21,1.6,23.4,36.0,31.1,76.7,0.0,10.8
255,Adilabad,Ichoda,15-Apr-21,0.0,21.2,34.6,26.4,66.7,0.5,27.3
256,Adilabad,Ichoda,16-Apr-21,0.0,20.6,36.2,25.7,51.3,0.0,9.5
257,Adilabad,Ichoda,17-Apr-21,0.0,23.6,36.8,21.1,58.0,0.0,10.6
258,Adilabad,Ichoda,18-Apr-21,0.0,21.8,37.5,22.6,52.7,0.0,15.7
259,Adilabad,Ichoda,19-Apr-21,0.0,26.7,38.8,15.9,54.7,0.0,9.0
260,Adilabad,Ichoda,20-Apr-21,0.0,26.2,39.7,16.1,40.4,0.0,12.1
261,Adilabad,Ichoda,21-Apr-21,0.0,25.1,40.1,16.8,71.7,0.0,15.8
262,Adilabad,Ichoda,22-Apr-21,0.0,21.9,37.3,26.0,59.0,0.0,14.8
263,Adilabad,Ichoda,23-Apr-21,0.0,24.0,37.8,24.7,54.6,0.0,9.6
264,Adilabad,Ichoda,24-Apr-21,0.0,20.6,37.0,17.0,49.1,0.0,6.3
265,Adilabad,Ichoda,25-Apr-21,0.0,22.7,37.8,15.9,35.3,3.5,11.8
266,Adilabad,Ichoda,26-Apr-21,0.0,27.9,39.7,20.6,38.5,0.0,8.9
267,Adilabad,Ichoda,27-Apr-21,0.0,24.2,39.9,24.0,39.1,3.1,25.7
268,Adilabad,Ichoda,28-Apr-21,0.0,25.2,39.7,20.1,37.3,0.0,3.5
269,Adilabad,Ichoda,29-Apr-21,0.0,25.4,40.1,17.2,36.6,0.0,7.8
270,Adilabad,Ichoda,30-Apr-21,0.0,25.6,39.4,19.3,57.1,0.0,11.7
271,Adilabad,Inderavelly,01-Apr-21,0.0,23.8,38.9,5.7,35.2,0.0,17.0
